Voltage, top, bottom, wall, frontAndBack
0, 	5.39971e-14, 	1.19343e-14, 	0, 	0
1, 	-1.32576, 	1.32576, 	0, 	0
2, 	-2.16002, 	2.16002, 	0, 	0
3, 	-2.62501, 	2.62501, 	0, 	0
4, 	-2.8718, 	2.8718, 	0, 	0
5, 	-3.0043, 	3.0043, 	0, 	0
6, 	-3.07822, 	3.07822, 	0, 	0
7, 	-3.1215, 	3.1215, 	0, 	0
8, 	-3.14836, 	3.14836, 	0, 	0
9, 	-3.16622, 	3.16622, 	0, 	0
10, 	-3.17908, 	3.17908, 	0, 	0
11, 	-3.18907, 	3.18907, 	0, 	0
12, 	-3.19735, 	3.19735, 	0, 	0
13, 	-3.20457, 	3.20457, 	0, 	0
14, 	-3.21108, 	3.21108, 	0, 	0
15, 	-3.2171, 	3.2171, 	0, 	0
16, 	-3.22274, 	3.22274, 	0, 	0
17, 	-3.2281, 	3.2281, 	0, 	0
18, 	-3.23323, 	3.23323, 	0, 	0
19, 	-3.23816, 	3.23816, 	0, 	0
20, 	-3.24293, 	3.24293, 	0, 	0
21, 	-3.24756, 	3.24756, 	0, 	0
22, 	-3.25206, 	3.25206, 	0, 	0
23, 	-3.25644, 	3.25644, 	0, 	0
24, 	-3.26073, 	3.26073, 	0, 	0
25, 	-3.26493, 	3.26493, 	0, 	0
0, 	1.49593e-14, 	-7.06585e-15, 	0, 	0
1, 	-0.126558, 	0.126558, 	0, 	0
2, 	-0.203781, 	0.203781, 	0, 	0
3, 	-0.249917, 	0.249917, 	0, 	0
4, 	-0.277457, 	0.277457, 	0, 	0
5, 	-0.294074, 	0.294074, 	0, 	0
6, 	-0.304309, 	0.304309, 	0, 	0
7, 	-0.310826, 	0.310826, 	0, 	0
8, 	-0.315183, 	0.315183, 	0, 	0
9, 	-0.318287, 	0.318287, 	0, 	0
10, 	-0.32066, 	0.32066, 	0, 	0
11, 	-0.322595, 	0.322595, 	0, 	0
12, 	-0.32426, 	0.32426, 	0, 	0
13, 	-0.325749, 	0.325749, 	0, 	0
14, 	-0.327117, 	0.327117, 	0, 	0
15, 	-0.328396, 	0.328396, 	0, 	0
16, 	-0.329609, 	0.329609, 	0, 	0
17, 	-0.330768, 	0.330768, 	0, 	0
18, 	-0.331883, 	0.331883, 	0, 	0
19, 	-0.332962, 	0.332962, 	0, 	0
20, 	-0.334009, 	0.334009, 	0, 	0
21, 	-0.335029, 	0.335029, 	0, 	0
22, 	-0.336025, 	0.336025, 	0, 	0
23, 	-0.337, 	0.337, 	0, 	0
24, 	-0.337955, 	0.337955, 	0, 	0
25, 	-0.338892, 	0.338892, 	0, 	0
0, 	1.49593e-14, 	-7.06585e-15, 	0, 	0
1, 	-0.126558, 	0.126558, 	0, 	0
2, 	-0.203781, 	0.203781, 	0, 	0
3, 	-0.249917, 	0.249917, 	0, 	0
4, 	-0.277457, 	0.277457, 	0, 	0
5, 	-0.294074, 	0.294074, 	0, 	0
6, 	-0.304309, 	0.304309, 	0, 	0
7, 	-0.310826, 	0.310826, 	0, 	0
8, 	-0.315183, 	0.315183, 	0, 	0
9, 	-0.318287, 	0.318287, 	0, 	0
10, 	-0.32066, 	0.32066, 	0, 	0
11, 	-0.322595, 	0.322595, 	0, 	0
12, 	-0.32426, 	0.32426, 	0, 	0
13, 	-0.325749, 	0.325749, 	0, 	0
14, 	-0.327117, 	0.327117, 	0, 	0
15, 	-0.328396, 	0.328396, 	0, 	0
16, 	-0.329609, 	0.329609, 	0, 	0
17, 	-0.330768, 	0.330768, 	0, 	0
18, 	-0.331883, 	0.331883, 	0, 	0
19, 	-0.332962, 	0.332962, 	0, 	0
20, 	-0.334009, 	0.334009, 	0, 	0
21, 	-0.335029, 	0.335029, 	0, 	0
22, 	-0.336025, 	0.336025, 	0, 	0
23, 	-0.337, 	0.337, 	0, 	0
24, 	-0.337955, 	0.337955, 	0, 	0
25, 	-0.338892, 	0.338892, 	0, 	0
0, 	1.48923e-14, 	9.88631e-15, 	0, 	0
1, 	-0.132576, 	0.132576, 	0, 	0
2, 	-0.216002, 	0.216002, 	0, 	0
3, 	-0.262501, 	0.262501, 	0, 	0
4, 	-0.28718, 	0.28718, 	0, 	0
5, 	-0.30043, 	0.30043, 	0, 	0
6, 	-0.307822, 	0.307822, 	0, 	0
7, 	-0.31215, 	0.31215, 	0, 	0
8, 	-0.314836, 	0.314836, 	0, 	0
9, 	-0.316622, 	0.316622, 	0, 	0
10, 	-0.317908, 	0.317908, 	0, 	0
11, 	-0.318907, 	0.318907, 	0, 	0
12, 	-0.319735, 	0.319735, 	0, 	0
13, 	-0.320457, 	0.320457, 	0, 	0
14, 	-0.321108, 	0.321108, 	0, 	0
15, 	-0.32171, 	0.32171, 	0, 	0
16, 	-0.322274, 	0.322274, 	0, 	0
17, 	-0.32281, 	0.32281, 	0, 	0
18, 	-0.323323, 	0.323323, 	0, 	0
19, 	-0.323816, 	0.323816, 	0, 	0
20, 	-0.324293, 	0.324293, 	0, 	0
21, 	-0.324756, 	0.324756, 	0, 	0
22, 	-0.325206, 	0.325206, 	0, 	0
23, 	-0.325644, 	0.325644, 	0, 	0
24, 	-0.326073, 	0.326073, 	0, 	0
